engine_id,engine_code
680,120L
681,Trooper (UBS69) 4WD
682,Trooper (UBS13
683,UBS52) 4WD
684,Trooper (UBS16
685,Trooper (UBS17
686,UBS55) 4WD
687,4.2 LiTre
688,3.8
689,5.3 V12
690,2.4 LiTre
691,3.4 LiTre
692,3.8 LiTre
693,5.3 LiTre V12
694,3.7i
695,4.0i 2.5TD
696,3.7i V6
697,4.7i V8
698,5.7i V8 Hemi
699,4.7 V8
700,5.7 V8
701,3.0 CRD
702,4.0i
703,2.8 V6
704,3.6 V6
705,2.8 CRD
706,2.2Dsl
707,3.0V6
708,3.6i V6
709,3.8i V6
710,6.3 - V8
711,7.2 -V8
712,3.3i V6
713,2.0 CRD
714,2.5 CRDi VGT
715,2.0 CRDi
716,2.2 CRDi
717,3.5 V8
718,3.9i V8
719,4.6i V8
720,2.7TDi V6
721,4.4i V8
722,3.0TDi V6
723,3.0i V6
724,4.2i V8
725,4.5i
726,3.2TDi
727,1.5D
728,1.8D
729,3.3D MHEV
730,2.5E PHEV
731,3.0D
732,0.2
733,6.2i-24v V8
734,3.0dci
735,4.7i
736,2.6
737,2.7
738,2.4d 3.0d
739,30.i
740,30.d
741,2.7TD
742,2.9d
743,4.0TDi
744,5.0
745,5.6
746,3.5TD
747,3.5
748,4.5 V8
749,6.3 V8
750,4.5
751,2.1TD
752,3.7. 2.0CDi
753,3.0CDi
754,2.3TD
755,3.0d V6
756,MG-B GT Coupé
757,MG-C 6-cyl.
758,incl. GT
759,1..6T
760,2.8TD
761,3.2TD
762,2.4TD
763,2.5 TD inTercooler
764,2.8TDi
765,3.0-V6
766,3.9
767,4.6
768,4.8i
769,Coupé 300 ZX
770,Fairlady
771,incl. Turbo (Z31)
772,incl. Turbo (Z32)
773,2.3TDi
774,2.5DCi
775,4.0 V6
776,3.0DCi 4.0 V6
777,2.8d
778,3.3d
779,4.2d
780,30.TDi
781,4.2TDi
782,1.3T
783,6.5
784,3.8 V6
785,4.3 V8
786,Ascona A Saloon
787,Voyage & Caravan
788,1.6CDTi
789,Corsa A
790,incl. GSi
791,1.7D & 1.6 GSi
792,GSi
793,1.2t
794,2.0CDTi
795,1.5. 1.7
796,3.1TD
797,MV6
798,Tigra
799,Tigra TwinTop 1.4
800,1.7D
801,2.0 GL
802,2.0-16V Turbo 4WD
803,Zafira A 1.6
804,1.7 TD
805,2.0 TD
806,2.2 TD
807,1.8TD
808,1.6THP
809,1.5HDi
810,1.8HDi
811,1.9i-16V
812,3.7
813,5.2
814,6.6
815,4.3
816,4.9
817,5.7
818,4.1
819,7.5
820,3.1
821,3.4
822,5.7i
823,6.0i
824,17.
825,4.7
826,5.4
827,3.6i Twin Turbo
828,2.5 Turbo
829,3.6 Turbo
830,6.4 V8. 3.0d
831,6.7d
832,2.3 dCi
833,1.9dTi
834,Clio 2 1.2 incl. Campus
835,Accès models
836,1.3TCe
837,1.6SCE
838,1.2TCE
839,1.3TCE
840,1.6DCi
841,1.7DCi
842,3.5-V8
843,Mini 850
844,1100
845,1275GT & Cooper models
846,1.9TD 2.0T
847,10.TSi
848,1.7Sdi
849,1.9 GTTDi
850,10.TSie
851,1.5TSie
852,2.0i-8V
853,1.0I
854,1.5I
855,1.6tdI
856,Superb Combi 3
857,Superb Saloon 3
858,2.2XDi
859,2.3i 16V
860,3.2i 24V
861,2.9TD
862,WRX 4x4
863,excl STi versions
864,2.5 Hybrid
865,.7i
866,1.3-16V
867,1.5VVTi
868,1.6VVTi
869,1.8VVTi
870,2.0VVTi
871,4.0i-V6
872,2.5D
873,2.4 Diesel
874,Hi-Lux Pickup AWD
875,Hi-Lux Pickup (RN36
876,-37
877,LN36
878,-46)
879,4.2TD
880,3.6d
881,4.0d
882,4.0
883,2.4d. 3.0d
884,40.d
885,4.5d
886,4.5TD
887,3.4d
888,Plug-in Hybrid
889,2.0 VVT-i
890,2.2 D-4D
891,30.
892,Yaris T-SporT
893,1.85
894,Astra H Wagon
895,2.0-16V Turbo
896,2.0i-16v
897,2.0i-V6
898,1.5 D
899,3.1d
900,3.0-V6TDi
901,1.2. 1.3
902,1.5 SporTomaTic
903,1.3 AuTomaTic
904,2.0TDi & 1.4i eHybrid
905,1.8 Supercharged
906,JeTTa 2 Syncro 4WD
907,1.4TSi Hybrid
908,1.2. 1.3. 1.5
909,1.7 SDi
910,3.0-v6
911,PassaT 32B
912,incl. Syncro
913,PassaT 35i Saloon
914,VarianT
915,excl. VR6
916,VarianT VR6
917,PassaT 35i Syncro G60
918,1.5TSi Hybrid
919,Polo 5 (6R
920,6C) Saloon
921,1.3 Supercharged
922,2.9
923,1.6GTDi
924,2.0GDTi
925,V70 ii
926,excl. 4WD
927,Cross CounTry 4WD
928,V70-R
929,2.9T
930,4.4i-V8
